#	X1	L1(X1)	L2(X1)
  4.50000   7.36250   4.68750
  4.51000   7.36549   4.69792
  4.52000   7.36848   4.70833
  4.53000   7.37145   4.71875
  4.54000   7.37442   4.72917
  4.55000   7.37737   4.73958
  4.56000   7.38032   4.75000
  4.57000   7.38325   4.76042
  4.58000   7.38618   4.77083
  4.59000   7.38909   4.78125
  4.60000   7.39200   4.79167
  4.61000   7.39489   4.80208
  4.62000   7.39778   4.81250
  4.63000   7.40065   4.82292
  4.64000   7.40352   4.83333
  4.65000   7.40637   4.84375
  4.66000   7.40922   4.85417
  4.67000   7.41205   4.86458
  4.68000   7.41488   4.87500
  4.69000   7.41769   4.88542
  4.70000   7.42050   4.89583
  4.71000   7.42329   4.90625
  4.72000   7.42608   4.91667
  4.73000   7.42885   4.92708
  4.74000   7.43162   4.93750
  4.75000   7.43437   4.94792
  4.76000   7.43712   4.95833
  4.77000   7.43985   4.96875
  4.78000   7.44258   4.97917
  4.79000   7.44529   4.98958
  4.80000   7.44800   5.00000
  4.81000   7.45069   5.01042
  4.82000   7.45338   5.02083
  4.83000   7.45605   5.03125
  4.84000   7.45872   5.04167
  4.85000   7.46137   5.05208
  4.86000   7.46402   5.06250
  4.87000   7.46665   5.07292
  4.88000   7.46928   5.08333
  4.89000   7.47189   5.09375
  4.90000   7.47450   5.10417
  4.91000   7.47709   5.11458
  4.92000   7.47968   5.12500
  4.93000   7.48225   5.13542
  4.94000   7.48482   5.14583
  4.95000   7.48737   5.15625
  4.96000   7.48992   5.16667
  4.97000   7.49245   5.17708
  4.98000   7.49498   5.18750
  4.99000   7.49749   5.19792
  5.00000   7.50000   5.20833
  5.01000   7.50249   5.21875
  5.02000   7.50498   5.22917
  5.03000   7.50745   5.23958
  5.04000   7.50992   5.25000
  5.05000   7.51237   5.26042
  5.06000   7.51482   5.27083
  5.07000   7.51725   5.28125
  5.08000   7.51968   5.29167
  5.09000   7.52209   5.30208
  5.10000   7.52450   5.31250
  5.11000   7.52689   5.32292
  5.12000   7.52928   5.33333
  5.13000   7.53165   5.34375
  5.14000   7.53402   5.35417
  5.15000   7.53637   5.36458
  5.16000   7.53872   5.37500
  5.17000   7.54105   5.38542
  5.18000   7.54338   5.39583
  5.19000   7.54569   5.40625
  5.20000   7.54800   5.41667
  5.21000   7.55029   5.42708
  5.22000   7.55258   5.43750
  5.23000   7.55485   5.44792
  5.24000   7.55712   5.45833
  5.25000   7.55937   5.46875
  5.26000   7.56162   5.47917
  5.27000   7.56385   5.48958
  5.28000   7.56608   5.50000
  5.29000   7.56829   5.51042
  5.30000   7.57050   5.52083
  5.31000   7.57269   5.53125
  5.32000   7.57488   5.54167
  5.33000   7.57705   5.55208
  5.34000   7.57922   5.56250
  5.35000   7.58137   5.57292
  5.36000   7.58352   5.58333
  5.37000   7.58565   5.59375
  5.38000   7.58778   5.60417
  5.39000   7.58989   5.61458
  5.40000   7.59200   5.62500
  5.41000   7.59409   5.63542
